packWidth,op1-bytesToLong(us),op2-bytesToLong2-rl(us),op3-bytesToLong3-why(us),op4-compare-bytes(us),op2/op1,op3/op1,op3/op2,op4/op1,op4/op2,op4/op3
1,117645.60,48291.80,49987.20,48076.10,.41,.42,1.04,.41,1.00,.96
2,224893.80,47392.30,52104.60,42808.80,.21,.23,1.10,.19,.90,.82
5,556302.00,86765.30,86660.10,47256.00,.16,.16,1.00,.08,.54,.55
7,820496.20,89161.90,92491.80,43639.20,.11,.11,1.04,.05,.49,.47
8,943635.50,75591.80,70663.10,44176.00,.08,.07,.93,.05,.58,.63
9,1020032.10,91249.80,102076.10,42520.70,.09,.10,1.12,.04,.47,.42
10,1119619.30,89661.30,101594.30,41984.00,.08,.09,1.13,.04,.47,.41
11,1217850.10,100913.90,112178.60,42528.40,.08,.09,1.11,.03,.42,.38
12,1271070.10,94930.60,106074.60,41286.80,.07,.08,1.12,.03,.43,.39
15,1526618.20,110312.40,129829.80,42361.50,.07,.09,1.18,.03,.38,.33
16,1553466.90,95191.30,108679.70,41295.80,.06,.07,1.14,.03,.43,.38
18,1763670.10,112202.90,138833.10,41795.30,.06,.08,1.24,.02,.37,.30
20,1928663.20,112475.40,140388.00,42597.20,.06,.07,1.25,.02,.38,.30
24,2349862.90,115978.50,144827.30,41029.20,.05,.06,1.25,.02,.35,.28
28,2810351.00,125314.00,179824.10,41603.10,.04,.06,1.43,.01,.33,.23
30,2993266.10,131890.00,195883.20,41355.80,.04,.07,1.49,.01,.31,.21
32,3196782.90,127494.60,182343.40,40863.70,.04,.06,1.43,.01,.32,.22
35,3493161.30,141624.40,236203.40,41495.70,.04,.07,1.67,.01,.29,.18
40,3973667.50,134827.30,217943.30,40943.80,.03,.05,1.62,.01,.30,.19
44,4346403.50,144634.40,253646.00,41624.00,.03,.06,1.75,.01,.29,.16
48,4695676.50,150758.70,251437.40,40514.80,.03,.05,1.67,.01,.27,.16
52,5225197.10,169684.20,300304.40,42584.10,.03,.06,1.77,.01,.25,.14
56,5658144.40,175878.10,303575.50,44882.00,.03,.05,1.73,.01,.26,.15
58,5787569.60,185185.50,360476.30,44310.20,.03,.06,1.95,.01,.24,.12
64,6240274.40,168990.70,330134.00,41775.40,.03,.05,1.95,.01,.25,.13
